2022/11/02 19:02:41 [notice] 1#1: using the "epoll" event method
2022/11/02 19:02:41 [notice] 1#1: nginx/1.23.2
2022/11/02 19:02:41 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2022/11/02 19:02:41 [notice] 1#1: OS: Linux 6.0.5-100.fc35.x86_64
2022/11/02 19:02:41 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1073741816:1073741816
2022/11/02 19:02:41 [notice] 1#1: start worker processes
2022/11/02 19:02:41 [notice] 1#1: start worker process 22
2022/11/02 19:02:41 [notice] 1#1: start worker process 23
2022/11/02 19:02:41 [notice] 1#1: start worker process 24
2022/11/02 19:02:41 [notice] 1#1: start worker process 25
2022/11/02 19:02:41 [notice] 1#1: start worker process 26
2022/11/02 19:02:41 [notice] 1#1: start worker process 27
2022/11/02 19:02:41 [notice] 1#1: start worker process 28
2022/11/02 19:02:41 [notice] 1#1: start worker process 29
2022/11/02 19:02:41 [notice] 1#1: start worker process 30
2022/11/02 19:02:41 [notice] 1#1: start worker process 31
2022/11/02 19:02:41 [notice] 1#1: start worker process 32
2022/11/02 19:02:41 [notice] 1#1: start worker process 33
2022/11/02 19:02:41 [notice] 1#1: start worker process 34
2022/11/02 19:02:41 [notice] 1#1: start worker process 35
2022/11/02 19:02:41 [notice] 1#1: start worker process 36
2022/11/02 19:02:41 [notice] 1#1: start worker process 37
2022/11/02 19:02:41 [notice] 1#1: start worker process 38
2022/11/02 19:02:41 [notice] 1#1: start worker process 39
2022/11/02 19:02:41 [notice] 1#1: start worker process 40
2022/11/02 19:02:41 [notice] 1#1: start worker process 41
2022/11/02 19:02:41 [notice] 1#1: start worker process 42
2022/11/02 19:02:41 [notice] 1#1: start worker process 43
2022/11/02 19:02:41 [notice] 1#1: start worker process 44
2022/11/02 19:02:41 [notice] 1#1: start worker process 45
